,country,rateWb,yearWb,rateIlo,yearIlo,rateCia,yearCia,Stabbing Death Rate,Gini Index,Stab100k,unemp
0,South Africa,29.2,2020,29.2,2020,28.53,2019,16.95,63.03,16.95,29.2
1,Djibouti,26.1,2017,26.1,2017,40,2017,2.44,41.59,2.44,26.1
2,Equatorial Guinea,25,1983,,,8.6,2014,2,,2,25
3,Botswana,24.9,2020,22.6,2019,20,2013,8.88,53.33,8.88,24.9
4,Grenada,22.9,2015,22.9,2015,24,2017,0.61,,0.61,22.9
5,Eswatini,22.7,2016,22.7,2016,28,2014,9.31,54.58,9.31,22.7
6,Lesotho,22.4,2019,22.4,2019,28.1,2014,16.38,44.88,16.38,22.4
7,Gabon,20.4,2010,,,28,2015,2.12,38.02,2.12,20.4
8,Namibia,19.9,2018,19.9,2018,34,2016,8.08,59.07,8.08,19.9
10,Libya,19,2012,,,30,2004,0.25,,0.25,19
11,Saint Vincent and the Grenadines,18.8,2008,,,18.8,2008,6.54,,6.54,18.8
12,Panama,18.6,2020,4.7,2019,6.14,2018,2.39,49.84,2.39,18.6
13,Georgia,18.5,2020,18.5,2020,11.8,2016,0.86,35.95,0.86,18.5
14,Armenia,18.3,2019,18.3,2019,18.9,2017,0.79,29.88,0.79,18.3
15,Montenegro,17.9,2020,15.1,2019,15.82,2019,0.32,38.49,0.32,17.9
16,Sudan,17.4,2011,,,19.6,2017,0.19,34.24,0.19,17.4
17,Costa Rica,17.4,2020,17.4,2020,8.1,2017,1.85,48.19,1.85,17.4
19,Zimbabwe,16.9,2019,16.9,2019,11.3,2014,2.41,50.26,2.41,16.9
20,Jordan,16.8,2019,16.8,2019,19.1,2019,0.45,33.66,0.45,16.8
21,Greece,16.3,2020,16.3,2020,17.3,2019,0.34,32.89,0.34,16.3
22,Bosnia and Herzegovina,15.9,2020,15.7,2019,33.28,2019,0.35,33.03,0.35,15.9
23,Spain,15.5,2020,15.5,2020,14.13,2019,0.36,34.72,0.36,15.5
24,Rwanda,15.3,2019,15.3,2019,2.7,2014,0.76,43.71,0.76,15.3
25,Saint Lucia,15.3,2019,15.3,2019,20,2003,5.57,51.23,5.57,15.3
26,Tunisia,15.1,2019,15.1,2019,15.5,2017,0.08,32.82,0.08,15.1
27,Colombia,15,2020,15,2020,10.5,2019,6.55,51.33,6.55,15
30,Haiti,14.1,2012,,,40.6,2010,7.14,41.1,7.14,14.1
31,Brazil,13.7,2020,13.7,2020,11.93,2019,4.56,53.43,4.56,13.7
32,Algeria,13.6,2017,13.6,2017,11.7,2017,0.14,27.62,0.14,13.6
34,Yemen,13.5,2014,13.5,2014,27,2014,0.34,36.71,0.34,13.5
35,Nauru,13.3,2013,,,23,2011,1.88,34.77,1.88,13.3
36,Turkey,13.1,2020,13.1,2020,13.68,2019,0.57,41.91,0.57,13.1
37,Iraq,13,2017,13,2017,16,2012,0.58,29.54,0.58,13
38,Zambia,12.5,2019,12,2018,15,2008,2.26,57.14,2.26,12.5
39,South Sudan,12.2,2008,,,,,4.43,44.14,4.43,12.2
40,Afghanistan,11.7,2020,11.2,2017,23.9,2017,1.14,,1.14,11.7
41,Albania,11.7,2020,11.5,2019,5.83,2019,0.29,33.17,0.29,11.7
43,Argentina,11.5,2020,9.8,2019,9.84,2019,1.62,42.9,1.62,11.5
44,Nepal,11.4,2017,11.4,2017,3,2017,0.31,32.84,0.31,11.4
45,Lebanon,11.3,2019,11.4,2019,9.7,2007,0.53,31.83,0.53,11.3
46,Chile,11.2,2020,11.2,2020,7.22,2019,2.09 per 100k,44.44,2.09,11.2
47,Northern Mariana Islands,11.2,2010,,,11.2,2010,0.94 per 100k,,0.94,11.2
48,Honduras,11,2020,5.7,2019,5.6,2017,6.66 per 100k,48.17,6.66,11
